174Yb  174   70  133   44   29    4    7.464605    7.977424
  1   0.000000   0.0  1  -1.00E+00  0 0                      0+  0                      
  2   0.076471   2.0  1   0.00E+00  1 0                      2+  0                      
                                          1      0.077  1.000E+00  1.000E+00  0.000E+00
  3   0.253117   4.0  1   0.00E+00  1 0                      4+  0                      
                                          2      0.175  1.000E+00  1.000E+00  0.000E+00
  4   0.528010   6.0  1   0.00E+00  1 0                      6+  0                      
                                          3      0.275  1.000E+00  1.000E+00  0.000E+00
  5   1.318376   2.0 -1   4.86E-10  0 0                      2-  0                      
  6   1.383310   3.0 -1   0.00E+00  1 0                      3-  0                      
                                          3      1.130  1.000E+00  1.000E+00  0.000E+00
  7   1.468206   4.0 -1   0.00E+00  0 0                      4-  0                      
  8   1.487110   0.0  1   0.00E+00  0 0                    (0+)  0                      
  9   1.518157   6.0  1   0.00E+00  0 0                      6+  0                      
 10   1.561810   2.0  1   0.00E+00  1 0                      2+  0                      
                                          3      1.309  1.000E+00  1.000E+00  0.000E+00
 11   1.570810   5.0 -1   0.00E+00  1 0                    (5-)  0                      
                                          7      0.103  1.000E+00  1.000E+00  0.000E+00
 12   1.606400   3.0  1   0.00E+00  4 0                      3+  0                      
                                          7      0.138  2.929E-01  2.929E-01  0.000E+00
                                          6      0.223  1.465E-01  1.465E-01  0.000E+00
                                          3      1.353  2.071E-01  2.071E-01  0.000E+00
                                          2      1.529  3.535E-01  3.535E-01  0.000E+00
 13   1.624406   1.0  1   0.00E+00  0 0                      1+  0                      
 14   1.634540   2.0  1   0.00E+00  1 0                      2+  0                      
                                          3      1.381  1.000E+00  1.000E+00  0.000E+00
 15   1.671224   7.0  1   0.00E+00  0 0                      7+  0                      
 16   1.674880   2.0  1   0.00E+00  0 0                      2+  0                      
 17   1.701680   4.0  1   0.00E+00  0 0                      4+  0                      
 18   1.709770   3.0  1   0.00E+00  1 0                      3+  0                      
                                          3      1.457  1.000E+00  1.000E+00  0.000E+00
 19   1.710530   1.0  0   0.00E+00  1 0                       1  0                      
                                         10      0.149  1.000E+00  1.000E+00  0.000E+00
 20   1.714840   4.0  1   0.00E+00  1 0                      4+  0                      
                                          2      1.638  1.000E+00  1.000E+00  0.000E+00
 21   1.733840   3.0  1   0.00E+00  1 0                      3+  0                      
                                          3      1.481  1.000E+00  1.000E+00  0.000E+00
 22   1.787110   3.0 -1   0.00E+00  1 0                      3-  0                      
                                          3      1.534  1.000E+00  1.000E+00  0.000E+00
 23   1.806250   4.0  1   0.00E+00  2 0                      4+  0                      
                                          3      1.552  5.161E-01  5.161E-01  0.000E+00
                                          2      1.731  4.839E-01  4.839E-01  0.000E+00
 24   1.819960   5.0  1   0.00E+00  2 0                      5+  0                      
                                         21      0.086  8.200E-01  8.200E-01  0.000E+00
                                          4      1.292  1.800E-01  1.800E-01  0.000E+00
 25   1.850540   3.0 -1   0.00E+00  3 0                      3-  0                      
                                         14      0.216  1.026E-01  1.026E-01  0.000E+00
                                         12      0.244  2.308E-01  2.308E-01  0.000E+00
                                          2      1.775  6.667E-01  6.667E-01  0.000E+00
 26   1.859240   4.0  1   0.00E+00  0 0                      4+  0                      
 27   1.883960   0.0  1   0.00E+00  0 0                    (0+)  0                      
 28   1.884683   5.0 -1   0.00E+00  0 0                    (5-)  0                      
 29   1.933340   3.0 -1   0.00E+00  1 0                    (3-)  0                      
                                          3      1.680  1.000E+00  1.000E+00  0.000E+00
 30   1.949710   4.0 -1   0.00E+00  0 0                    (4-)  0                      
 31   1.958543   2.0  1   0.00E+00  0 0                      2+  0                      
 32   2.017880   3.0  1   0.00E+00  1 0                    (3+)  0                      
                                         12      0.411  1.000E+00  1.000E+00  0.000E+00
 33   2.020645   6.0 -1   0.00E+00  0 0                      6-  0                      
 34   2.038510  -1.0  0   0.00E+00  1 0                          0                      
                                          7      0.570  1.000E+00  1.000E+00  0.000E+00
 35   2.048830   3.0 -1   0.00E+00  1 0                      3-  0                      
                                         25      0.198  1.000E+00  1.000E+00  0.000E+00
 36   2.069010   1.0  1   0.00E+00  0 0                    (1+)  0                      
 37   2.088756   4.0 -1   0.00E+00  0 0                    (4)-  0                      
 38   2.101228  -1.0  0   0.00E+00  0 0                          0                      
 39   2.111787  -1.0  0   0.00E+00  0 0                          0                      
 40   2.123110   4.0  1   0.00E+00  0 0                      4+  0                      
 41   2.161200   4.0 -1   0.00E+00  1 0                      4-  0                      
                                         24      0.341  1.000E+00  1.000E+00  0.000E+00
 42   2.163169   2.0  1   0.00E+00  0 0                      2+  0                      
 43   2.172060   2.0  1   0.00E+00  2 0                    (2+)  0                      
                                          3      1.921  6.061E-01  6.061E-01  0.000E+00
                                          2      2.094  3.939E-01  3.939E-01  0.000E+00
 44   2.186880   3.0  0   0.00E+00  0 1                  (3,4+)  0                      
 45   2.237732   2.0  1   0.00E+00  0 0                    (2)+  0                      
 46   2.246690   2.0  1   0.00E+00  2 1                   2+,3+  0                      
                                         10      0.685  4.685E-01  4.685E-01  0.000E+00
                                          2      2.171  5.315E-01  5.315E-01  0.000E+00
 47   2.256270   3.0  1   0.00E+00  1 0                      3+  0                      
                                          3      2.003  1.000E+00  1.000E+00  0.000E+00
 48   2.295870   2.0  1   0.00E+00  3 0                      2+  0                      
                                         40      0.173  2.353E-01  2.353E-01  0.000E+00
                                         14      0.661  4.706E-01  4.706E-01  0.000E+00
                                         12      0.690  2.941E-01  2.941E-01  0.000E+00
 49   2.336891   4.0  1   0.00E+00  0 0                      4+  0                      
 50   2.341520   1.0 -1   0.00E+00  0 0                      1-  0                      
 51   2.361854   1.0  1   0.00E+00  0 1                   1+,4+  0                      
 52   2.378848   5.0 -1   0.00E+00  0 0                      5-  0                      
 53   2.384130   4.0  1   0.00E+00  1 0                      4+  0                      
                                         48      0.088  1.000E+00  1.000E+00  0.000E+00
 54   2.403450   2.0 -1   0.00E+00  0 0                      2-  0                      
 55   2.439150   4.0  1   0.00E+00  1 0                      4+  0                      
                                          6      1.056  1.000E+00  1.000E+00  0.000E+00
 56   2.464965   2.0  1   0.00E+00  2 1                   2+,3+  0                      
                                         17      0.763  6.571E-01  6.571E-01  0.000E+00
                                          2      2.389  3.429E-01  3.429E-01  0.000E+00
 57   2.501400  -1.0  0   0.00E+00  0 0                          0                      
 58   2.514200  -1.0  0   0.00E+00  0 0                          0                      
 59   2.519600  -1.0  0   0.00E+00  0 0                          0                      
 60   2.527300  -1.0  0   0.00E+00  0 0                          0                      
 61   2.540800  -1.0  0   0.00E+00  0 0                          0                      
 62   2.547300  -1.0  0   0.00E+00  0 0                          0                      
 63   2.549000  -1.0  0   0.00E+00  0 0                          0                      
 64   2.581290  -1.0  0   0.00E+00  0 0                          0                      
 65   2.588100  -1.0  0   0.00E+00  0 0                          0                      
 66   2.599870  -1.0  0   0.00E+00  0 0                          0                      
 67   2.623200  -1.0  0   0.00E+00  0 0                          0                      
 68   2.642400  -1.0  0   0.00E+00  0 0                          0                      
 69   2.657400  -1.0  0   0.00E+00  0 0                          0                      
 70   2.663000  -1.0  0   0.00E+00  0 0                          0                      
 71   2.680210  -1.0  0   0.00E+00  0 0                          0                      
 72   2.705100  -1.0  0   0.00E+00  0 0                          0                      
 73   2.712260  -1.0  0   0.00E+00  0 0                          0                      
 74   2.732190  -1.0  0   0.00E+00  0 0                          0                      
 75   2.749200  -1.0  0   0.00E+00  0 0                          0                      
 76   2.767800  -1.0  0   0.00E+00  0 0                          0                      
 77   2.774300  -1.0  0   0.00E+00  0 0                          0                      
